"","indicat","time","lat","lon","alt","head","speed","equip","reg","plan_dep","plan_arr","real_arr","id_iata","id_icao"
"1",912790636,2024-07-31 00:06:40,-25.53185,-49.1732,0,45,13,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"2",912790636,2024-07-31 00:06:47,-25.53152,-49.17286,0,39,13,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"3",912790636,2024-07-31 00:06:52,-25.53127,-49.17281,0,5,12,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"4",912790636,2024-07-31 00:06:57,-25.531,-49.173,0,320,12,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"5",912790636,2024-07-31 00:07:02,-25.53078,-49.17325,0,315,13,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"6",912790636,2024-07-31 00:07:06,-25.5306,-49.17346,0,315,14,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"7",912790636,2024-07-31 00:07:10,-25.53042,-49.17366,0,315,15,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"8",912790636,2024-07-31 00:07:18,-25.53005,-49.17407,0,315,15,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"9",912790636,2024-07-31 00:07:25,-25.52964,-49.17453,0,315,16,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"10",912790636,2024-07-31 00:07:32,-25.52922,-49.17499,0,315,17,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"11",912790636,2024-07-31 00:07:40,-25.52882,-49.17545,0,315,17,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"12",912790636,2024-07-31 00:07:47,-25.5284,-49.17592,0,315,17,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"13",912790636,2024-07-31 00:07:54,-25.52797,-49.17641,0,315,18,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"14",912790636,2024-07-31 00:08:02,-25.52751,-49.17692,0,315,18,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"15",912790636,2024-07-31 00:08:08,-25.52709,-49.17738,0,315,19,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"16",912790636,2024-07-31 00:08:15,-25.52665,-49.17787,0,315,19,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"17",912790636,2024-07-31 00:08:23,-25.52621,-49.17838,0,315,19,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"18",912790636,2024-07-31 00:08:30,-25.52573,-49.17891,0,315,19,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"19",912790636,2024-07-31 00:08:37,-25.52529,-49.17941,0,315,19,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"20",912790636,2024-07-31 00:08:44,-25.52482,-49.17994,0,312,19,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"21",912790636,2024-07-31 00:08:52,-25.52436,-49.18045,0,315,19,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"22",912790636,2024-07-31 00:08:58,-25.52395,-49.1809,0,315,19,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"23",912790636,2024-07-31 00:09:06,-25.5235,-49.18141,0,315,18,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"24",912790636,2024-07-31 00:09:13,-25.52312,-49.18184,0,315,15,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"25",912790636,2024-07-31 00:09:17,-25.52289,-49.18204,0,320,15,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"26",912790636,2024-07-31 00:09:21,-25.52265,-49.18219,0,334,14,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"27",912790636,2024-07-31 00:09:26,-25.52244,-49.18224,0,348,11,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"28",912790636,2024-07-31 00:09:32,-25.52222,-49.18237,0,323,9,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
"29",912790636,2024-07-31 00:09:37,-25.52214,-49.18261,0,284,10,"B737","PRGEC","SBCT","SBSP","SBSP","G31137","GLO1137"
